Date,Model,Count
31-Aug-16,M45,5
31-Aug-16,M121,3
31-Aug-16,M122,4
31-Aug-16,M91,10
31-Aug-16,M66,57
31-Aug-16,M100,59
31-Aug-16,M5,17
31-Aug-16,M14,653
31-Aug-16,M62,8
31-Aug-16,M15,25
31-Aug-16,M61,3
31-Aug-16,M82,42
31-Aug-16,M108,4
31-Aug-16,M55,1
31-Aug-16,M43,1
31-Aug-16,M31,23
31-Aug-16,M90,31
31-Aug-16,M96,19
31-Aug-16,M69,1
31-Aug-16,M76,4
31-Aug-16,M56,2
31-Aug-16,M92,2
31-Aug-16,M72,15
31-Aug-16,M94,1
31-Aug-16,M8,189
31-Aug-16,M97,3
31-Aug-16,M71,5
31-Aug-16,M57,2
31-Aug-16,M107,8
31-Aug-16,M99,2
31-Aug-16,M18,2400
31-Aug-16,M30,5
31-Aug-16,M36,1
31-Aug-16,M86,2
31-Aug-16,M13,12
31-Aug-16,M73,40
31-Aug-16,M81,1
31-Aug-16,M41,92
31-Aug-16,M79,69
31-Aug-16,M70,1
31-Aug-16,M110,1
31-Aug-16,M95,3
31-Aug-16,M51,4
31-Aug-16,M117,7
31-Aug-16,M22,360
31-Aug-16,M10,54
31-Aug-16,M65,20
31-Aug-16,M115,4
31-Aug-16,M75,2
31-Aug-16,M124,1
31-Aug-16,M2,4
31-Aug-16,M42,2
31-Aug-16,M112,17
31-Aug-16,M27,1
31-Aug-16,M53,7
31-Aug-16,M60,1
31-Aug-16,M120,4
31-Aug-16,M23,858
31-Aug-16,M4,225
31-Aug-16,M39,13
31-Aug-16,M48,3
31-Aug-16,M32,35
31-Aug-16,M87,3
31-Aug-16,M6,74
31-Aug-16,M64,21
31-Aug-16,M68,1
31-Aug-16,M17,35
31-Aug-16,M7,12
31-Aug-16,M24,770
31-Aug-16,M44,2
31-Aug-16,M16,168
31-Aug-16,M77,75
31-Aug-16,M78,122
31-Aug-16,M28,50
31-Aug-16,M12,4
31-Aug-16,M1,1
31-Aug-16,M84,361
31-Aug-16,M11,106
31-Aug-16,M25,720
31-Aug-16,M20,360
31-Aug-16,M105,1
31-Aug-16,M88,1
31-Aug-16,M109,10
31-Aug-16,M21,44
31-Aug-16,M19,342
31-Aug-16,M40,40
31-Aug-16,M9,13
31-Aug-16,M116,2
31-Aug-16,M50,1
31-Aug-16,M67,71
31-Aug-16,M93,8
31-Aug-16,M89,5
31-Aug-16,M63,3
31-Aug-16,M123,24
30-Aug-16,M119,1
30-Aug-16,M41,75
30-Aug-16,M90,25
30-Aug-16,M60,1
30-Aug-16,M76,1
30-Aug-16,M31,25
30-Aug-16,M115,2
30-Aug-16,M36,1
30-Aug-16,M66,67
30-Aug-16,M42,15
30-Aug-16,M72,17
30-Aug-16,M69,2
30-Aug-16,M112,24
30-Aug-16,M8,190
30-Aug-16,M28,35
30-Aug-16,M95,3
30-Aug-16,M49,1
30-Aug-16,M18,2600
30-Aug-16,M27,1
30-Aug-16,M9,11
30-Aug-16,M52,2
30-Aug-16,M32,31
30-Aug-16,M2,4
30-Aug-16,M20,390
30-Aug-16,M91,6
30-Aug-16,M67,67
30-Aug-16,M120,5
30-Aug-16,M75,3
30-Aug-16,M93,4
30-Aug-16,M77,82
30-Aug-16,M16,152
30-Aug-16,M102,1
30-Aug-16,M17,52
30-Aug-16,M24,812
30-Aug-16,M30,5
30-Aug-16,M87,5
30-Aug-16,M45,6
30-Aug-16,M40,39
30-Aug-16,M13,16
30-Aug-16,M78,136
30-Aug-16,M107,7
30-Aug-16,M39,9
30-Aug-16,M121,5
30-Aug-16,M14,692
30-Aug-16,M85,2
30-Aug-16,M25,675
30-Aug-16,M65,24
30-Aug-16,M43,1
30-Aug-16,M5,18
30-Aug-16,M48,6
30-Aug-16,M116,1
30-Aug-16,M63,1
30-Aug-16,M99,2
30-Aug-16,M22,336
30-Aug-16,M15,17
30-Aug-16,M53,15
30-Aug-16,M109,13
30-Aug-16,M7,8
30-Aug-16,M73,41
30-Aug-16,M4,245
30-Aug-16,M122,1
30-Aug-16,M71,5
30-Aug-16,M11,114
30-Aug-16,M57,6
30-Aug-16,M94,5
30-Aug-16,M70,2
30-Aug-16,M6,82
30-Aug-16,M19,387
30-Aug-16,M84,280
30-Aug-16,M56,2
30-Aug-16,M123,19
30-Aug-16,M79,63
30-Aug-16,M62,5
30-Aug-16,M89,6
30-Aug-16,M10,51
30-Aug-16,M23,676
30-Aug-16,M108,6
30-Aug-16,M96,21
30-Aug-16,M88,1
30-Aug-16,M126,1
30-Aug-16,M51,10
30-Aug-16,M82,43
30-Aug-16,M61,3
30-Aug-16,M64,17
30-Aug-16,M86,2
30-Aug-16,M59,1
30-Aug-16,M117,12
30-Aug-16,M100,43
30-Aug-16,M1,2
30-Aug-16,M92,1
30-Aug-16,M21,22
29-Aug-16,M105,2
29-Aug-16,M22,252
29-Aug-16,M96,25
29-Aug-16,M84,321
29-Aug-16,M1,1
29-Aug-16,M50,1
29-Aug-16,M28,39
29-Aug-16,M6,81
29-Aug-16,M77,73
29-Aug-16,M67,76
29-Aug-16,M2,5
29-Aug-16,M38,1
29-Aug-16,M78,128
29-Aug-16,M24,616
29-Aug-16,M17,40
29-Aug-16,M19,270
29-Aug-16,M20,300
29-Aug-16,M86,1
29-Aug-16,M9,10
29-Aug-16,M11,110
29-Aug-16,M64,24
29-Aug-16,M68,1
29-Aug-16,M13,16
29-Aug-16,M103,1
29-Aug-16,M93,4
29-Aug-16,M82,54
29-Aug-16,M75,3
29-Aug-16,M45,2
29-Aug-16,M52,2
29-Aug-16,M62,4
29-Aug-16,M74,1
29-Aug-16,M53,9
29-Aug-16,M89,4
29-Aug-16,M98,1
29-Aug-16,M44,1
29-Aug-16,M10,81
29-Aug-16,M31,25
29-Aug-16,M41,70
29-Aug-16,M48,4
29-Aug-16,M25,975
29-Aug-16,M109,9
29-Aug-16,M117,11
29-Aug-16,M65,24
29-Aug-16,M7,5
29-Aug-16,M70,2
29-Aug-16,M116,6
29-Aug-16,M99,2
29-Aug-16,M73,48
29-Aug-16,M40,33
29-Aug-16,M123,26
29-Aug-16,M92,1
29-Aug-16,M16,187
29-Aug-16,M37,1
29-Aug-16,M107,9
29-Aug-16,M88,6
29-Aug-16,M66,50
29-Aug-16,M27,3
29-Aug-16,M110,1
29-Aug-16,M5,22
29-Aug-16,M87,5
29-Aug-16,M100,42
29-Aug-16,M79,56
29-Aug-16,M71,8
29-Aug-16,M121,3
29-Aug-16,M36,2
29-Aug-16,M120,1
29-Aug-16,M112,34
29-Aug-16,M15,21
29-Aug-16,M61,2
29-Aug-16,M14,639
29-Aug-16,M18,2704
29-Aug-16,M81,2
29-Aug-16,M108,4
29-Aug-16,M94,2
29-Aug-16,M8,193
29-Aug-16,M76,6
29-Aug-16,M23,689
29-Aug-16,M90,27
29-Aug-16,M113,1
29-Aug-16,M125,2
29-Aug-16,M57,5
29-Aug-16,M51,9
29-Aug-16,M72,11
29-Aug-16,M39,5
29-Aug-16,M59,1
29-Aug-16,M56,1
29-Aug-16,M85,1
29-Aug-16,M32,30
29-Aug-16,M30,4
29-Aug-16,M91,10
29-Aug-16,M4,253
29-Aug-16,M69,2
29-Aug-16,M21,22
28-Aug-16,M10,66
28-Aug-16,M117,17
28-Aug-16,M38,1
28-Aug-16,M93,5
28-Aug-16,M100,47
28-Aug-16,M64,33
28-Aug-16,M123,20
28-Aug-16,M23,754
28-Aug-16,M73,42
28-Aug-16,M51,8
28-Aug-16,M86,2
28-Aug-16,M68,4
28-Aug-16,M99,1
28-Aug-16,M77,82
28-Aug-16,M21,22
28-Aug-16,M15,26
28-Aug-16,M24,756
28-Aug-16,M104,1
28-Aug-16,M107,5
28-Aug-16,M70,2
28-Aug-16,M7,8
28-Aug-16,M41,71
28-Aug-16,M8,165
28-Aug-16,M4,206
28-Aug-16,M30,2
28-Aug-16,M28,49
28-Aug-16,M94,3
28-Aug-16,M122,2
28-Aug-16,M32,37
28-Aug-16,M66,62
28-Aug-16,M75,3
28-Aug-16,M62,6
28-Aug-16,M84,257
28-Aug-16,M89,6
28-Aug-16,M22,324
28-Aug-16,M61,2
28-Aug-16,M96,23
28-Aug-16,M108,4
28-Aug-16,M82,49
28-Aug-16,M56,1
28-Aug-16,M59,1
28-Aug-16,M53,11
28-Aug-16,M11,101
28-Aug-16,M2,2
28-Aug-16,M71,2
28-Aug-16,M45,4
28-Aug-16,M44,3
28-Aug-16,M13,15
28-Aug-16,M14,736
28-Aug-16,M40,44
28-Aug-16,M95,1
28-Aug-16,M79,67
28-Aug-16,M112,21
28-Aug-16,M18,2832
28-Aug-16,M31,30
28-Aug-16,M5,25
28-Aug-16,M20,330
28-Aug-16,M85,2
28-Aug-16,M88,2
28-Aug-16,M26,2
28-Aug-16,M52,2
28-Aug-16,M90,26
28-Aug-16,M78,146
28-Aug-16,M27,1
28-Aug-16,M25,705
28-Aug-16,M81,1
28-Aug-16,M69,1
28-Aug-16,M60,3
28-Aug-16,M113,1
28-Aug-16,M17,53
28-Aug-16,M105,2
28-Aug-16,M109,11
28-Aug-16,M63,2
28-Aug-16,M87,4
28-Aug-16,M115,1
28-Aug-16,M120,1
28-Aug-16,M39,8
28-Aug-16,M76,8
28-Aug-16,M6,90
28-Aug-16,M19,243
28-Aug-16,M9,9
28-Aug-16,M121,2
28-Aug-16,M65,13
28-Aug-16,M91,10
28-Aug-16,M43,1
28-Aug-16,M67,73
28-Aug-16,M72,13
28-Aug-16,M16,187
28-Aug-16,M98,1
28-Aug-16,M74,1
28-Aug-16,M48,4
27-Aug-16,M44,1
27-Aug-16,M87,5
27-Aug-16,M115,1
27-Aug-16,M78,137
27-Aug-16,M39,8
27-Aug-16,M2,3
27-Aug-16,M40,40
27-Aug-16,M77,100
27-Aug-16,M120,3
27-Aug-16,M21,11
27-Aug-16,M17,47
27-Aug-16,M26,2
27-Aug-16,M84,229
27-Aug-16,M35,1
27-Aug-16,M121,4
27-Aug-16,M11,118
27-Aug-16,M89,3
27-Aug-16,M10,61
27-Aug-16,M67,80
27-Aug-16,M20,290
27-Aug-16,M6,83
27-Aug-16,M75,4
27-Aug-16,M96,12
27-Aug-16,M5,20
27-Aug-16,M15,18
27-Aug-16,M73,37
27-Aug-16,M81,3
27-Aug-16,M65,29
27-Aug-16,M72,22
27-Aug-16,M31,28
27-Aug-16,M13,15
27-Aug-16,M63,3
27-Aug-16,M117,9
27-Aug-16,M91,9
27-Aug-16,M109,10
27-Aug-16,M94,1
27-Aug-16,M27,1
27-Aug-16,M4,248
27-Aug-16,M108,10
